contestualizarre,to contextualise,verb,prova a contextualizzare
registrare,to record,verb,registro questo video
l'assenza,the absence,noun,con l'assenza di loro
la sudata,the sweat,noun,è difficile con la sudata
sudare,to sweat,verb,sudiamo troppo al sole
la cupola,the dome,noun,voglio andare alla cupola
scarpinata,hike,noun,abbiamo fatto una scarpinata
risparmiare,to save/spare,verb,devo risparmiare piu soldi
spingere,to push,verb,perche l'hai spinto
impostarsi,set itself,verb,si è impostato
un coro,a choir,noun,posso sentire il coro
echeggiare,to echo,verb,echeggiano nella caverna
asso,ace,noun,sono due assi
sfoderare,to unsheathe,verb,
incitare,to incite,verb,io incito a farlo
traversare,to navigate,verb,
l'avversario,the opponent,verb,dobbiamo vincere contro l'avversario
disperatamente,desperately,adverb,dobbiamo vincere disperatamente
il reparto,the department,noun,il reparto vendite
indebolire,to weaken,verb,si sono indeboliti
rovinare,to ruin/mess up,verb,perchè ha rovinato il gioco
concedersi,to indulge,verb,ho bisogno di concedermi
trasmettere,to broadcast,verb,ho trasmesso i canali
il calo,the drop,noun,c'è stato un'altro calo
cavarsela,to get away with,verb,
allungarsi,to stretch,verb,allungo le gambe
diradarsi,to thin out,verb,
riconquistare,to recapture,verb,riconquisterò tutto il territorio
traversa,the crossbar,noun,la palla ha colpito la traversa!
baricentro,centre of gravity,noun,
allevare,to breed,verb,si allevano una volta per settimana
rigiocare,to replay,verb,voglio rigiocare quel gioco
l'esordio,debut,noun,com'è andato l'esordio?
esordire,to debut/begin,verb,esordiamo qualcosa
ripercorrere,to retrace,verb,ripercorri le tue impronte
vivaio,nursery,noun,non eravamo mai andati al vivaio
cornamusa,bagpipe,noun,suona la cornamusa
arduo,hard,adjective,quella partita è stata ardua
respirare,to breathe,verb,dovete respirare più
la gita,the trip,noun,
scala a chiocolla,spiral staircase,noun,dov'è la scala a chiocolla?
cogliere,to take,verb,cogliamo l'opportunità
picchiare,to beat,verb,il sole picchia
un'attenuante,mitigating factor,noun,c'era un'attenuante
pazzesco,crazy,adjective,crea un traffico pazzesco
tremendamente,tremendously,adverb,fa tremendamente caldo
dottorando,phd student,noun,è un fantastico dottorando
il ridotto,the reduced,noun,non hai pagato il ridotto
insomma,in short/conclusion,conjunction,quindi insomma...
prevendita,presale,noun,la prevendita
rassicurare,reassure,verb,rassicurare che vinciamo
rifare,remake,verb,rifacciamo il trenino
