accept	accettare
allow	permettere
ask	chiedere
believe	credere
borrow	prendere
break	rompere
bring	portare
buy	comprare
can/be able	potere
cancel	cancellare
change	cambiare
clean	pulire
comb	pettinare
complain	lamentare
cough	tossire
count	contare
cut	tagliare
dance	ballare
draw	disegnare
drink	bere
drive	guidare
eat	mangiare
explain	spiegare
fall	cadere
fill	riempire
find	trovare
finish	finire
fix	aggiustare
fly	volare
forget	dimenticare
give	dare
go	andare
have	avere
hear	sentire
hurt	ferire
know	sapere
know2	conoscere
learn	imparare
leave	partire
listen	ascoltare
live	vivere
look	guardare
lose	perdere
make/do	fare
open	aprire
close/shut	chiudere
organize	organizzare
pay	pagare
play	giocare
put	mettere
rain	piovere
read	leggere
reply	rispondere
run	correre
say	dire
see	vedere
sell	vendere
send	spedire
sign	firmare
sing	cantare
sit	sedere
sleep	dormire
smoke	fumare
speak	parlare
spend	spendere
stand	alzare
start/begin	cominciare
study	studiare
swim	nuotare
take	prendere
talk	parlare
teach	insegnare
tell	dire
think	pensare
translate	tradurre
travel	viaggiare
try	provare
turn off	spegnere
turn on	accendere
understand	capire
use	usare
wait	aspettare
wake up	svegliare
want	volere
to desire	desiderare
watch	guardare
work	lavorare
worry	preoccupare
write	scrivere
